answer,querysum,our approach
querysum,answer,our approach
our approach,querysum,answer
our approach,answer,querysum
answer,querysum,our approach
querysum,answer,our approach
our approach,querysum,answer
our approach,querysum,answer
our approach,answer,querysum
answer,querysum,our approach
